year,interpolated,sigma_mean_CO2
-12124.58,253.02,0.87
-12105.25,255.66,1.99
-12079.85,251.03,2.57
-12058.8,253.1,0.7
-12037.32,248.41,0.35
-12015.9,247.85,1.45
-11990.69,255.39,1.39
-11969.55,253.99,1.3
-11948.09,248.92,2.04
-11926.96,258.57,5.26
-11904.91,255.9,1.16
-11883.17,251.56,0.58
-11863.12,253.63,1.59
-11843.33,254.31,1.34
-11820.5,257.17,1.48
-11802.79,258.53,1.78
-11780.72,258.25,0.33
-11759.21,258.74,1.48
-11740.65,255.89,1.4
-11719.72,256.04,1.26
-11701.44,253.99,1.46
-11682.82,254.62,0.88
-11664.54,247.55,0.34
-11647.92,257.13,1.34
-11628.97,266.22,2.41
-11611.31,261.3,1.52
-11592.24,260.7,0.29
-11576.41,267.09,0.5
-11559.61,262.74,1.42
-11543.6,266.9,0.66
-11523.93,269.51,0.85
-11507.23,267.66,1.15
-11490.45,267.17,0.85
-11472.8,269.1,2.52
-11453.06,268.87,0.7
-11435.93,270.14,2.11
-11417.45,264.48,2.04
-11399.86,268.16,2.55
-11383.16,264.84,1.29
-11339.37,264.81,1.67
-11316.98,264.1,0.7
-11256.57,264.4,1.5
-11200.58,265.3,0.4
-11185.87,265,0.8
-11161.06,264.8,0.4
-11089.62,264.8,0.6
-10954.48,267.6,0.7
-10835.74,265.1,1.6
-10801.81,266,1.1
-10680.48,266.9,0.6
-10505.55,267.5,0.4
-10366.56,264.9,0.4
-10299.55,265.7,0.5
-10192.95,263.4,0.1
-10134.5,264,0.3
-9992.61,264.2,0.9
-9901.04,264.4,0.4
-9573.27,263.8,1.2
-9555.86,263,0.4
-9524.44,260.9,0.6
-9518.06,260.6,1.7
-9436.7,265.2,0.9
-9361.12,263.8,0.8
-9295.31,263.7,1.2
-9143.01,262,0.8
-9060.17,259.3,1
-8992.99,260.4,0.6
-8911.85,260.9,0.7
-8781.28,259,1.1
-8710.68,261.8,1
-8546.58,260.7,0.4
-8459.68,261.3,0.9
-8351.88,258.3,1.2
-8194.8,259.3,0.9
-8116.28,259.6,0.5
-7975.85,260.8,1.4
-7926.37,259.2,0.7
-7860.18,259.7,0.9
-7719.59,260.4,0.4
-7661.37,260.1,0.6
-7497.87,258.4,0.8
-7405.32,260.7,0.6
-7274.01,263,0.7
-7188.07,262.3,0.9
-7038.27,257.6,0.9
-6970.08,258.1,1.4
-6880.31,262.9,0.5
-6769.65,262.1,0.9
-6682.55,259.4,0.6
-6572.29,261.1,0.4
-6401.24,261.2,0.7
-6337.21,262.7,0.9
-6301.96,263.2,0.6
-6089.81,265.5,0.8
-5999.38,266.7,0.9
-5934.09,260.7,1.6
-5852.26,265.5,0.8
-5757.61,265.9,0.9
-5581.3,267.6,2
-5533.29,265.2,0.8
-5357.55,265.3,1.7
-5311.18,267.6,0.6
-5218.57,269.8,1.2
-5086.79,268.6,1.1
-4981.58,269.3,1
-4921.2,270.7,0.5
-4773,271.5,0.8
-4647.46,269.8,1
-4592.82,269.1,0.6
-4494.36,271.1,0.8
-4342.82,271.5,0.9
-4275.08,272.8,0.8
-4205.84,271.6,0.7
-4108.67,271.7,1
-3968.95,274.9,1.3
-3856.17,275.4,0.5
-3806.86,271.5,1
-3693.41,273,0.8
-3644.46,273.4,1.3
-3528.29,275,0.6
-3431.12,274,0.3
-3283.66,273.1,1.1
-3255.73,276.3,1.5
-3056.6,274.6,0.8
-2948.82,276.3,0.9
-2904.55,274.7,1.2
-2801.76,275.3,1.6
-2708.48,278.9,0.6
-2628.02,273.9,1.1
-2526.12,277.9,0.5
-2414.32,277.6,1.3
-2265.55,276.7,0.8
-2234.24,276.7,0.8
-2093.36,276.9,0.7
-1999.71,278,1.2
-1949,276.7,1
-1920,277.9,1
-1894,277.4,1
-1846,277.5,1
-1814,278.1,1
-1796.47,278.07,0.41
-1775.47,277.56,0.41
-1709.4,280.25,0.62
-1683.9,278.31,0.62
-1675.56,280.24,2.56
-1654.4,280.91,0.41
-1632.45,281.69,0.41
-1592.67,277.8,0.41
-1565.77,277.25,0.41
-1543.64,279.13,0.41
-1513.06,280,0.41
-1461.87,277.11,0.41
-1432.04,276.79,0.94
-1398.38,276.56,0.41
-1392.53,278.46,3.85
-1367.59,276.2,0.41
-1335.48,277.87,0.41
-1313,279.59,0.41
-1280.82,278.45,0.41
-1248.75,277.1,0.41
-1219.57,279.99,0.41
-1187.7,279.29,2.21
-1156.9,279.72,2.21
-1127.67,278.62,1.41
-1074.59,279.42,1.41
-1035.87,280.11,2.21
-992.35,277.41,0.41
-967.35,278.74,1.41
-932.42,279.8,1.34
-930.73,280.06,0.63
-909.92,280.92,0.94
-900.82,280.97,0.63
-879.8,282.84,0.94
-850.59,283.09,0.64
-834.39,282.84,0.94
-803.71,284.51,1.27
-784.02,283.97,1.41
-750.19,284.54,0.64
-739.05,283.69,0.94
-698.73,282.41,0.63
-690.49,282.2,0.94
-671.8,278.43,0.41
-642.55,281.58,0.94
-619.88,284.07,0.64
-601.15,278.36,0.41
-559.67,280.91,0.63
-539.14,279.7,0.94
-521.2,279.73,0.41
-500.84,282.23,0.95
-480.6,280.31,1.27
-448.47,283.12,0.64
-420.32,283.95,0.64
-400.35,283.53,1.27
-390.14,281.83,0.94
-376.99,282.57,0.64
-361.82,281.11,0.94
-359.01,279.36,0.95
-346.58,275.07,0.63
-340.54,271.11,0.41
-321.4,273.78,0.41
-310.19,276.69,0.94
-300.9,278.02,0.63
-268.11,276.66,0.63
-260.26,276.32,0.94
-255.93,277.36,0.63
-227.14,278.27,1.27
-226.99,277.01,0.94
-216.13,278.31,0.94
-208.74,276.81,0.94
-200.88,277.6,0.63
-198.07,276.46,0.94
-197.87,278,0.63
-187.12,277.16,0.63
-186.3,276.4,0.94
-176.54,277.86,0.94
-170.51,280.24,0.63
-169.7,273.07,0.41
-155.9,281.62,0.94
-154.06,282.3,0.63
-153.53,280.4,1.72
-150.66,282.8,0.79
-136.34,284.43,0.94
-125.26,281.36,0.94
-123.08,285.91,0.64
-117.13,285.09,0.95
-116.82,283.82,0.94
-113.3,284.15,0.94
-109.17,283.65,0.63
-106.71,281.58,1.16
-105.54,283.53,1.16
-105.35,283.18,1.16
-104.1,283.62,1.34
-102.68,286.84,0.64
-99.74,284,1.16
-99.17,288.79,0.41
-98.89,285.47,0.63
-96.29,288.05,2.21
-95.28,285.57,0.63
-93.38,283.16,1.16
-91.16,286.63,0.41
-88.17,287.17,0.63
-87.02,285.35,0.94
-85.87,286.65,1.16
-83.26,285.05,1.68
-82.27,287.99,0.41
-81.59,289.54,1.72
-80.34,287.99,0.63
-79.96,286.33,1.16
-77.17,286.66,1.34
-76.26,291.56,2.21
-73.09,289.33,0.63
-70.05,287.77,1.16
-67.08,292.46,0.95
-66.21,289.76,0.94
-65.82,289.23,0.62
-64.4,288.12,2.01
-62.61,294.34,0.63
-60.99,292.34,0.68
-60.13,290.92,1.16
-57.61,295.17,0.63
-57.12,294.86,1.72
-56.94,295.32,0.64
-56.34,293.17,1.72
-56.24,293.81,0.94
-51.34,295.28,0.63
-51.06,297.05,2.21
-49.82,294.22,1.16
-48.3,295.61,1.33
-46.09,295.99,0.94
-44.65,299.02,0.63
-44.46,297.33,0.63
-44.23,299.63,0.64
-41.48,301.5,2.21
-40.24,297.87,1.16
-39.28,298.11,2.56
-38.9,297.73,1.72
-38.71,299.26,1.72
-37.48,301.3,0.63
-35.61,300.7,2.45
-34.21,301.92,0.63
-32.13,303.85,0.67
-31.33,304.61,2.21
-30.29,301.88,1.16
-27.49,303.18,0.94
-27.16,306.2,3.82
-25.25,304.72,1.72
-24.69,304.97,0.63
-22.2,308.02,3.18
-21.84,305.67,0.64
-21.46,305.71,0.94
-21.26,305.78,0.64
-20.61,305.38,0.07
-19.17,305.74,1.45
-17.71,308.26,0.63
-17.46,308.28,2.21
-17.22,305.94,1.16
-16.41,307.08,2.56
-16.12,309.63,0.63
-14.94,306.32,1.16
-14.29,307.26,1.16
-14.13,309.34,2.87
-13.14,307.41,1.16
-12.23,312.33,0.13
-12.13,311.52,2.21
-11.87,311.94,1.34
-11.84,308.48,0.64
-11.03,310.46,2.17
-10.78,311.21,0.63
-10.41,310.95,0.63
-10.03,309.8,0.64
-9.25,307.74,1.16
-9.16,311.8,2.21
-8.22,312.39,2.21
-7.96,312.84,2.56
-7.79,311.88,2.77
-6.43,312.36,2.21
-5.49,310.22,0.63
-5.24,311.28,0.41
-5.04,310.44,2.56
-4.61,311.81,3.12
-4.44,311.97,2.08
-4.38,312.56,2.21
-3.37,312.87,2.21
-3.34,310.36,0.63
-2.29,311.57,2.21
-1.23,309.69,0.41
-0.33,313.66,2.21
0.25,312,0.64
2.38,312.18,0.41
3.56,312.22,1.42
3.71,312.8,0.63
3.79,313.17,0.63
4.8,314.71,2.21
6.16,315.34,0.64
7.1,314.44,0.79
7.2,316.33,0.13
7.26,315.27,1.16
7.87,314.57,0.41
8.1,316.1,1.72
8.56,316.33,0.94
9.09,311.98,1.81
10.31,313.09,1.81
10.57,318.21,1.72
11.72,316.59,0.64
12.32,317.52,0.63
12.4,319.14,0.63
12.54,317.45,0.63
12.62,318.61,0.9
13.2,319.07,0.63
13.56,319.12,0.94
15.23,319.89,0.63
15.3,319.2,0.95
15.87,320.98,1.74
16.55,322.17,1.34
16.79,320.49,1.16
18.54,320.38,1.16
18.81,324.09,0.63
18.98,325.08,0.63
19.42,324.71,0.63
20.22,324.56,0.63
20.64,324.91,0.18
20.66,326.65,1.16
20.87,326.31,1.34
22.04,330.35,2.21
22.09,328.42,0.63
24.13,331.55,0.63
25.57,332.37,0.04
26.67,332.37,1.27
26.8,335.55,0.63
29.14,334.85,0.37
33.03,339.46,0.3
33.08,341.33,0.1
34.92,342.05,0.46
35.76,343.11,0.14
36.14,343.97,0.06
36.62,344.72,0.09
37.21,345.44,0.03
38.07,347.6,0.4
38.97,349.28,0.13
39.41,349.8,0.14
39.97,350.81,0.16
41.13,352.42,0.1
42.31,353.72,0.22
43.08,353.95,0.04
44.41,357.11,0.16
46.28,359.65,0.1
48,361.78,0.37
51.03,368.02,0.06